url,titulo,descripcion
https://youtu.be/VgDgWzBL7s4?si=F1C0Ic4zUCfMmmpq,Video de Ejemplo,Descripción del video.
https://www.youtube.com/watch?v=dQw4w9WgXcQ,Seguridad en Laboratorio,Video sobre prácticas seguras.
https://www.youtube.com/watch?v=dQw4w9WgXcQ,Impacto Ambiental,Video educativo sobre ecología.
https://www.youtube.com/watch?v=dQw4w9WgXcQ,Video de Ejemplo,Descripción del video.
https://www.youtube.com/watch?v=dQw4w9WgXcQ,Seguridad en Laboratorio,Video sobre prácticas seguras.
https://www.youtube.com/watch?v=dQw4w9WgXcQ,Impacto Ambiental,Video educativo sobre ecología.
https://www.youtube.com/watch?v=dQw4w9WgXcQ,Video de Ejemplo,Descripción del video.
https://www.youtube.com/watch?v=dQw4w9WgXcQ,Seguridad en Laboratorio,Video sobre prácticas seguras.
https://www.youtube.com/watch?v=dQw4w9WgXcQ,Impacto Ambiental,Video educativo sobre ecología.   
https://www.youtube.com/watch?v=xbeX-gy-71Q,zeolitas y biocarbón como herramientas ambientales,video difusión académica
